t,Demand
457,35152.77
458,34489.61
459,34179.62
460,34376.39
461,35240.96
462,37377.47
463,40610.00
464,42577.26
465,43279.14
466,43685.37
467,43826.82
468,43820.43
469,43650.80
470,43075.48
471,42734.05
472,42741.48
473,43260.71
474,44355.33
475,45368.78
476,44852.18
477,43890.24
478,42253.20
479,39985.00
480,37725.86
481,36207.80
482,35269.40
483,34847.72
484,34780.16
485,35393.55
486,37228.67
487,40178.49
488,41817.16
489,42025.07
490,41984.64
491,41752.18
492,41654.97
493,41187.59
494,40908.33
495,40429.26
496,40197.24
497,40445.69
498,41234.96
499,42249.38
500,41694.55
501,40785.46
502,39436.58
503,37482.99
504,35518.08
505,34119.19
506,33204.55
507,32807.52
508,32843.40
509,33527.80
510,35312.05
511,38245.71
512,40058.91
513,40506.42
514,40864.64
515,40883.89
516,40897.89
517,40786.92
518,40715.54
519,40579.30
520,40638.50
521,40805.89
522,41170.62
523,41896.84
524,41268.66
525,40276.60
526,39206.15
527,37684.78
528,36051.87
529,34646.72
530,33672.58
531,33115.90
532,32938.50
533,33154.89
534,33945.45
535,35140.92
536,36535.50
537,38080.83
538,39379.21
539,40097.11
540,40189.13
541,39956.20
542,39412.39
543,38906.33
544,38690.72
545,38812.70
546,39604.92
547,40458.09
548,40038.26
549,39350.48
550,38381.73
551,37021.03
552,35500.41
553,34158.66
554,33078.93
555,32333.71
556,31977.96
557,31980.95
558,32304.53
559,33056.10
560,34117.61
561,35402.85
562,36846.32
563,37779.95
564,38552.54
565,39070.37
566,39192.73
567,39181.44
568,39158.91
569,39231.85
570,39939.48
571,41131.95
572,41045.38
573,40221.65
574,39037.99
575,37077.50
576,35030.15
577,33405.80
578,32351.33
579,31771.95
580,31701.15
581,32314.62
582,34049.69
583,37001.75
584,38982.72
585,39621.34
586,40118.91
587,40663.55
588,41023.26
589,41098.94
590,40979.19
591,40665.17
592,40343.44
593,40292.99
594,40480.27
595,41728.08
596,41410.36
597,40538.76
598,39178.51
599,37158.32
600,35154.60
601,33916.53
602,33269.26
603,33199.82
604,33479.08
605,34565.48
606,36894.10
607,40744.49
608,43077.65
609,43134.85
610,42441.57
611,41622.38
612,40995.70
613,40489.33
614,40067.88
615,39760.10
616,39632.24
617,39765.73
618,40316.91
619,42135.91
620,42182.44
621,41556.07
622,40349.43
623,38442.32
624,36539.58
625,35194.32
626,34479.00
627,34177.65
628,34330.82
629,35272.24
630,37728.73
631,41534.30
632,43965.28
633,44082.25
634,43530.27
635,42804.16
636,42034.22
637,41194.62
638,40485.16
639,39871.55
640,39581.23
641,39848.98
642,41030.19
643,43645.92
644,44160.76
645,44057.25
646,43261.88
647,41705.77
648,40237.13
649,39499.70
650,39434.88
651,39756.46
652,40438.58
653,42028.27
654,45001.77
655,49300.41
656,51663.47
657,51315.36
658,49558.49
659,47430.93
660,45507.43
661,43561.10
662,42158.53
663,41241.00
664,40745.62
665,40827.68
666,41884.07
667,44626.79
668,45320.43
669,45109.71
670,44309.97
671,42496.93
672,40778.83
673,39759.87
674,39322.25
675,39318.74
676,39770.85
677,41051.11
678,43481.04
679,47104.56
680,48871.54
681,48172.42
682,46492.63
683,44641.73
684,42813.11
685,41164.83
686,40195.57
687,39388.07
688,38828.28
689,38671.00
690,39295.27
691,40711.39
692,40563.10
693,39978.12
694,39124.19
695,37742.10
696,36247.62
697,34855.71
698,33865.09
699,33295.64
700,33006.76
701,33124.60
702,33627.54
703,34782.64
704,36098.53
705,37412.02
706,38535.87
707,39013.97
708,38898.45
709,38506.06
710,37927.01
711,37589.31
712,37536.89
713,37712.49
714,37910.90
715,38875.05
716,38764.39
717,37954.75
718,37060.74
719,35904.47
720,34650.70
721,33498.72
722,32997.38
723,32781.04
724,32892.75
725,33237.99
726,34093.01
727,35567.14
728,36944.47
729,38262.59
730,39221.72
731,39330.86
732,38914.00
733,38317.47
734,37565.97
735,36990.29
736,36687.56
737,36891.52
738,37772.76
739,40048.23
740,40792.95
741,40589.61
742,39880.80
743,38396.34
744,36924.91
745,36054.97
746,35849.82
747,36087.23
748,36801.23
749,38346.44
750,41216.53
751,45428.16
752,47907.11
753,47250.72
754,45650.91
755,44101.12
756,42637.66
757,41153.49
758,40105.26
759,39292.26
760,38720.46
761,38683.64
762,39396.19
763,41707.12
764,42509.84
765,42451.04
766,41860.99
767,40341.29
768,38807.02
769,37764.35
770,37311.89
771,37368.19
772,37759.22
773,39084.49
774,41709.67
775,45550.00
776,47524.18
777,46870.08
778,44874.75
779,43099.26
780,41560.28
781,40168.67
782,39200.82
783,38375.78
784,37947.65
785,38022.81
786,38649.11
787,40620.25
788,41050.39
789,40810.02
790,39923.36
791,38220.11
792,36601.61
793,35657.59
794,35274.99
795,35255.04
796,35708.72
797,36910.03
798,39235.99
799,43089.47
800,44705.32
801,43932.34
802,42257.26
803,40761.19
804,39725.76
805,38891.60
806,38513.23
807,38371.17
808,38436.66
809,38739.79
810,39096.19
811,40608.76
812,40850.77
813,40121.83
814,38696.66
815,36541.97
816,34327.14
817,32775.93
818,31876.08
819,31306.45
820,31184.54
821,31822.10
822,33581.88
823,36420.32
824,37939.41
825,38389.83
826,39042.33
827,39487.26
828,39826.26
829,40095.01
830,40187.40
831,40000.78
832,40042.88
833,40080.95
834,40075.10
835,41289.97
836,41451.58
837,40745.18
838,39411.99
839,37466.09
840,35542.23
841,34312.59
842,33684.86
843,33597.25
844,33920.93
845,34921.05
846,37136.78
847,40624.49
848,42777.12
849,43409.39
850,43699.57
851,43409.16
852,42756.29
853,41986.52
854,40992.70
855,40028.74
856,39566.19
857,39490.04
858,40170.19
859,41875.92
860,42243.08
861,41941.16
862,41406.51
863,40098.24
864,38634.68
865,37277.93
866,36528.56
867,36134.47
868,36012.92
869,36305.06
870,37069.61
871,38440.62
872,39859.84
873,41241.78
874,42280.58
875,42256.37
876,41148.80
877,39927.26
878,38679.46
879,37682.24
880,37091.48
881,37034.82
882,37526.95
883,38842.79
884,39665.30
885,39523.34
886,38953.94
887,38171.75
888,37311.97
889,36668.69
890,36367.21
891,36444.60
892,36958.87
893,37734.86
894,38860.37
895,40363.38
896,41847.02
897,42863.12
898,43128.04
899,42507.35
900,41204.65
901,39607.45
902,38446.86
903,37598.07
904,37249.51
905,37319.63
906,37792.12
907,38939.72
908,39576.17
909,39601.36
910,39474.80
911,38280.38
912,36420.91
913,35105.80
914,34438.25
915,34258.45
916,34371.37
917,35149.80
918,37076.94
919,40103.78
920,41702.66
921,41874.10
922,41891.96
923,41741.37
924,41385.13
925,40853.97
926,40462.51
927,39753.55
928,39262.76
929,39365.07
930,39892.23
931,41430.13
932,41740.34
933,41154.63
934,40039.76
935,38145.08
936,36278.21
937,35104.82
938,34646.33
939,34628.65
940,35051.41
941,36318.54
942,38832.76
943,42265.25
944,44811.01
945,45841.55
946,46547.54
947,47180.84
948,47321.13
949,46999.32
950,46597.62
951,46074.37
952,45767.74
953,46121.61
954,46934.44
955,48446.66
956,48567.30
957,47687.03
958,46187.18
959,43938.46
960,41754.60
961,40520.63
962,39990.92
963,39947.72
964,40278.92
965,41265.16
966,43524.86
967,46923.87
968,49135.61
969,49746.65
970,50387.24
971,51006.92
972,51233.97
973,51128.46
974,51082.01
975,50906.94
976,50961.82
977,51614.66
978,52709.78
979,53952.02
980,53979.78
981,53332.55
982,51937.39
983,49696.58
984,47723.78
985,46604.82
986,46226.92
987,46269.29
988,46777.46
989,48141.03
990,50731.71
991,54184.91
992,56832.59
993,58104.26
994,59097.61
995,59769.18
996,60106.74
997,59834.23
998,59497.09
999,59113.32
1000,58978.42
1001,59218.32
1002,59998.97
1003,61120.00
1004,61103.57
1005,60543.60
1006,58872.24
1007,56636.51
1008,54681.97
1009,53562.94
1010,53152.28
1011,53141.03
1012,53554.72
1013,54726.08
1014,56985.10
1015,60176.47
1016,62344.57
1017,63306.65
1018,63843.87
1019,63997.23
1020,63482.49
1021,62794.36
1022,62204.48
1023,61773.97
1024,61285.52
1025,61381.19
1026,62128.27
1027,63112.31
1028,63056.44
1029,62357.53
1030,61175.48
1031,59281.10
1032,57584.44
1033,56129.91
1034,55483.30
1035,55251.93
1036,55404.95
1037,56082.63
1038,57394.45
1039,58997.21
1040,60469.79
1041,62047.11
1042,63495.37
1043,64132.07
1044,63591.46
1045,62101.96
1046,60180.32
1047,58570.91
1048,57505.86
1049,57649.77
1050,58850.49
1051,60585.13
1052,60798.90
1053,60185.33
1054,59157.56
1055,57579.01
1056,56271.60
1057,55282.61
1058,54746.71
1059,54701.39
1060,55005.10
1061,55630.17
1062,56680.45
1063,58071.47
1064,59511.08
1065,61299.99
1066,63072.42
1067,64185.23
1068,64864.16
1069,65047.45
1070,65028.90
1071,65188.55
1072,65556.73
1073,66468.02
1074,68094.83
1075,69635.09
1076,69692.49
1077,69324.25
1078,68473.93
1079,67200.98
1080,66270.52
1081,65777.08
1082,63910.40
1083,53982.97
1084,54102.71
1085,54522.96
1086,51839.58
1087,51147.73
1088,51220.19
1089,49646.30
1090,49443.18
1091,48615.53
1092,47548.02
1093,46197.98
1094,45423.55
1095,45100.61
1096,45416.83
1097,45767.30
1098,45425.71
1099,45061.71
1100,44257.29
1101,44364.44
1102,44894.44
1103,44100.05
1104,43704.30
1105,44070.05
1106,44524.15
1107,45258.65
1108,46108.30
1109,45598.00
1110,45681.93
1111,46501.87
1112,46796.66
1113,45855.51
1114,44947.88
1115,44196.11
1116,44291.85
1117,44273.06
1118,43977.84
1119,45176.70
1120,45569.70
1121,46123.61
1122,46562.50
1123,45843.07
1124,45498.77
1125,45306.60
1126,44392.86
1127,43538.40
1128,42691.44
1129,42688.61
1130,42628.67
1131,43020.75
1132,43075.18
1133,43135.33
1134,43305.82
1135,43904.87
1136,44295.01
1137,44062.06
1138,44634.84
1139,45318.15
1140,45313.77
1141,45419.52
1142,45547.14
1143,45156.44
1144,44953.86
1145,45340.72
1146,47212.44
1147,48913.84
1148,49225.25
1149,49445.35
1150,49277.30
1151,48820.21
1152,48263.10
1153,48173.29
1154,47970.87
1155,47994.99
1156,48187.57
1157,48831.25
1158,50142.19
1159,51788.28
1160,52968.91
1161,54155.81
1162,55290.19
1163,55723.51
1164,55475.47
1165,54260.09
1166,52574.12
1167,51232.34
1168,50397.02
1169,50495.68
1170,51810.56
1171,54446.42
1172,55175.49
1173,54835.07
1174,54134.95
1175,52944.17
1176,52016.63
1177,51435.27
1178,51493.77
1179,51905.05
1180,52456.44
1181,53562.60
1182,55285.47
1183,57538.36
1184,58610.02
1185,57156.42
1186,54548.21
1187,51763.50
1188,48983.93
1189,46271.42
1190,43837.57
1191,41732.31
1192,40291.78
1193,39794.69
1194,40947.86
1195,44466.51
1196,47041.94
1197,48039.30
1198,48403.44
1199,47950.49
1200,47387.89
1201,47029.94
1202,47070.28
1203,47509.61
1204,48027.83
1205,48935.06
1206,50226.99
1207,51934.48
1208,52761.14
1209,51129.16
1210,48107.23
1211,44884.07
1212,41967.72
1213,39229.73
1214,36998.80
1215,35226.60
1216,34176.49
1217,33953.36
1218,34853.66
1219,37448.09
1220,39222.73
1221,39522.33
1222,39282.79
1223,38362.59
1224,37294.95
1225,36388.20
1226,35860.46
1227,35571.49
1228,35425.72
1229,35463.01
1230,35824.08
1231,36631.75
1232,37173.82
1233,37378.24
1234,36960.25
1235,35898.41
1236,34611.23
1237,33416.79
1238,32427.71
1239,31658.88
1240,31387.19
1241,31585.60
1242,32257.47
1243,33901.40
1244,35064.26
1245,34811.48
1246,34037.27
1247,32601.60
1248,31185.46
1249,30357.94
1250,30092.10
1251,30396.63
1252,31191.08
1253,32708.82
1254,35385.37
1255,39048.00
1256,40800.91
1257,39667.68
1258,37996.04
1259,36638.59
1260,35692.49
1261,35073.15
1262,34733.11
1263,34457.48
1264,34314.75
1265,34503.68
1266,34765.60
1267,35858.57
1268,36721.14
1269,36309.69
1270,35273.30
1271,33633.40
1272,31903.13
1273,30820.31
1274,30421.78
1275,30613.14
1276,31121.99
1277,32279.57
1278,34731.34
1279,38296.19
1280,39688.69
1281,38700.36
1282,37211.23
1283,35965.82
1284,35304.87
1285,35124.72
1286,35154.43
1287,35360.08
1288,35714.44
1289,36054.94
1290,36293.67
1291,37188.75
1292,37807.72
1293,36955.01
1294,35416.77
1295,33159.19
1296,30886.27
1297,29328.68
1298,28334.54
1299,27925.22
1300,27800.15
1301,28524.23
1302,30151.28
1303,33154.64
1304,34531.28
1305,35002.33
1306,35413.71
1307,35741.00
1308,36123.16
1309,36440.15
1310,36661.01
1311,36921.41
1312,37301.13
1313,37659.17
1314,37702.07
1315,38412.73
1316,38738.83
1317,37980.45
1318,36667.55
1319,34536.63
1320,32207.24
1321,30693.24
1322,29797.47
1323,29467.27
1324,29544.48
1325,30210.75
1326,31989.39
1327,35078.17
1328,36737.71
1329,37676.31
1330,38469.43
1331,38909.91
1332,39302.02
1333,39422.14
1334,39446.89
1335,39319.72
1336,39389.41
1337,39736.97
1338,40616.24
1339,41785.55
1340,41921.72
1341,41199.26
1342,39696.20
1343,37603.34
1344,35588.23
1345,34194.47
1346,33282.87
1347,32871.52
1348,32797.07
1349,33396.61
1350,35114.04
1351,37972.23
1352,39494.05
1353,39974.12
1354,40349.14
1355,40357.13
1356,40286.50
1357,39863.56
1358,39389.53
1359,39083.47
1360,38791.42
1361,38524.73
1362,38508.99
1363,39107.34
1364,39147.14
1365,38439.24
1366,37531.31
1367,36259.22
1368,34580.81
1369,33185.86
1370,32148.20
1371,31470.54
1372,31134.47
1373,31159.27
1374,31793.27
1375,32964.48
1376,34004.37
1377,35410.63
1378,36646.41
1379,37481.11
1380,38147.71
1381,38356.19
1382,38169.98
1383,37759.27
1384,37304.23
1385,37185.98
1386,37362.63
1387,38038.45
1388,38299.89
1389,37594.07
1390,36609.45
1391,35345.83
1392,33764.99
1393,32325.37
1394,31077.87
1395,30208.19
1396,29644.42
1397,29383.02
1398,29498.99
1399,30222.65
1400,30933.79
1401,32548.06
1402,34404.43
1403,35882.44
1404,36953.72
1405,37625.96
1406,38057.34
1407,38227.13
1408,38264.66
1409,38415.84
1410,38752.99
1411,39697.73
1412,40323.96
1413,39717.79
1414,38432.48
1415,36406.50
1416,34218.32
